Buy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'RSI', 'AMO', 'Close']
Model Class Weight: {0: 1.1, -1: 1.1, 1: 1}
--------------------------------------------------
Highest % gain: ('LLY', {'final_portfolio_value': 22672.819975666032, 'Portfolio cumulative percent gain': 126.72819975666032, 'Stock percent gain': 231.27694350685087, 'total_trades': 107, 'winning_trades': 68, 'losing_trades': 39, 'sharpe_ratio': 3.077763533383227})
Lowest % gain: ('ENPH', {'final_portfolio_value': 3109.3949732264923, 'Portfolio cumulative percent gain': -68.90605026773508, 'Stock percent gain': -64.4208001609092, 'total_trades': 63, 'winning_trades': 25, 'losing_trades': 37, 'sharpe_ratio': -4.025844455973758})
Number of stocks with a positive gain 278
Number of stocks with a negative gain 219
Win/Loss Ratio: 0.98
--------------------------------------------------
Top 100 Portfolios that perform better than their stock
BLK: {'final_portfolio_value': 11157.540547169088, 'Portfolio cumulative percent gain': 11.575405471690884, 'Stock percent gain': -14.131833067025681, 'total_trades': 90, 'winning_trades': 44, 'losing_trades': 45, 'sharpe_ratio': 0.26556343104670216}
AAL: {'final_portfolio_value': 8435.89561996354, 'Portfolio cumulative percent gain': -15.641043800364603, 'Stock percent gain': -41.11461861351603, 'total_trades': 140, 'winning_trades': 69, 'losing_trades': 70, 'sharpe_ratio': -0.46371378265412266}
SPG: {'final_portfolio_value': 11509.91296914582, 'Portfolio cumulative percent gain': 15.099129691458202, 'Stock percent gain': -10.320280099619366, 'total_trades': 121, 'winning_trades': 67, 'losing_trades': 53, 'sharpe_ratio': 0.26439288579767495}
CAG: {'final_portfolio_value': 10962.556852494336, 'Portfolio cumulative percent gain': 9.625568524943356, 'Stock percent gain': -15.730996924260971, 'total_trades': 108, 'winning_trades': 53, 'losing_trades': 54, 'sharpe_ratio': 0.21844080488793005}
ISRG: {'final_portfolio_value': 14721.941210541605, 'Portfolio cumulative percent gain': 47.219412105416055, 'Stock percent gain': 21.97501384620101, 'total_trades': 65, 'winning_trades': 35, 'losing_trades': 29, 'sharpe_ratio': 1.2926751888336883}
OMC: {'final_portfolio_value': 14502.499592336864, 'Portfolio cumulative percent gain': 45.02499592336864, 'Stock percent gain': 19.796087449918215, 'total_trades': 107, 'winning_trades': 57, 'losing_trades': 50, 'sharpe_ratio': 0.9056513556960142}
AAPL: {'final_portfolio_value': 14050.040691165686, 'Portfolio cumulative percent gain': 40.50040691165687, 'Stock percent gain': 15.464668345501455, 'total_trades': 123, 'winning_trades': 68, 'losing_trades': 54, 'sharpe_ratio': 0.5782579301261291}
HUM: {'final_portfolio_value': 10238.063965709396, 'Portfolio cumulative percent gain': 2.3806396570939614, 'Stock percent gain': -22.551685537889703, 'total_trades': 92, 'winning_trades': 50, 'losing_trades': 41, 'sharpe_ratio': 0.0204871148069017}
BDX: {'final_portfolio_value': 12192.464230103516, 'Portfolio cumulative percent gain': 21.924642301035167, 'Stock percent gain': -2.991800511349148, 'total_trades': 102, 'winning_trades': 55, 'losing_trades': 46, 'sharpe_ratio': 1.4169061311932014}
STZ: {'final_portfolio_value': 12809.571124221031, 'Portfolio cumulative percent gain': 28.095711242210307, 'Stock percent gain': 3.495677016152854, 'total_trades': 95, 'winning_trades': 54, 'losing_trades': 40, 'sharpe_ratio': 2.6527479953357727}
