git sBuy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'RSI', 'AMO', 'Close']
Model Class Weight: {0: 1.1, -1: 1.3, 1: 1}
--------------------------------------------------
Highest % gain: ('FSLR', {'final_portfolio_value': 33111.99455356214, 'Portfolio cumulative percent gain': 231.11994553562138, 'Stock percent gain': 199.9727744290788, 'total_trades': 115, 'winning_trades': 62, 'losing_trades': 52, 'sharpe_ratio': 3.0887389865872876})
Lowest % gain: ('DG', {'final_portfolio_value': 4022.8921774534624, 'Portfolio cumulative percent gain': -59.771078225465374, 'Stock percent gain': -46.01742723861949, 'total_trades': 99, 'winning_trades': 42, 'losing_trades': 57, 'sharpe_ratio': -1.515082083182573})
Number of stocks with a positive gain 298
Number of stocks with a negative gain 199
Win/Loss Ratio: 1.02
--------------------------------------------------
Top 100 Portfolios that perform better than their stock
PLD: {'final_portfolio_value': 10580.009532827558, 'Portfolio cumulative percent gain': 5.800095328275583, 'Stock percent gain': -18.320759863453166, 'total_trades': 68, 'winning_trades': 41, 'losing_trades': 27, 'sharpe_ratio': 0.14441821520441525}
A: {'final_portfolio_value': 12106.677408096417, 'Portfolio cumulative percent gain': 21.06677408096417, 'Stock percent gain': -2.6557707970863724, 'total_trades': 126, 'winning_trades': 69, 'losing_trades': 56, 'sharpe_ratio': 1.109791640373284}
ITW: {'final_portfolio_value': 12943.604221232752, 'Portfolio cumulative percent gain': 29.43604221232752, 'Stock percent gain': 5.88565237956782, 'total_trades': 125, 'winning_trades': 65, 'losing_trades': 60, 'sharpe_ratio': 2.209035586051613}
JCI: {'final_portfolio_value': 12069.076347094884, 'Portfolio cumulative percent gain': 20.69076347094884, 'Stock percent gain': -2.7161954190647752, 'total_trades': 131, 'winning_trades': 71, 'losing_trades': 60, 'sharpe_ratio': 3.1195930732969943}
UNH: {'final_portfolio_value': 14284.038008645402, 'Portfolio cumulative percent gain': 42.840380086454026, 'Stock percent gain': 19.840799944787317, 'total_trades': 121, 'winning_trades': 66, 'losing_trades': 54, 'sharpe_ratio': 1.093000578693642}
DOV: {'final_portfolio_value': 13087.38373465918, 'Portfolio cumulative percent gain': 30.873837346591806, 'Stock percent gain': 8.453568353218287, 'total_trades': 105, 'winning_trades': 59, 'losing_trades': 46, 'sharpe_ratio': 1.4315348907788248}
ENPH: {'final_portfolio_value': 5677.584071827244, 'Portfolio cumulative percent gain': -43.22415928172756, 'Stock percent gain': -65.62633297201519, 'total_trades': 88, 'winning_trades': 39, 'losing_trades': 48, 'sharpe_ratio': -1.0204019283523884}
K: {'final_portfolio_value': 11580.865756020037, 'Portfolio cumulative percent gain': 15.808657560200372, 'Stock percent gain': -5.984294604684197, 'total_trades': 104, 'winning_trades': 60, 'losing_trades': 44, 'sharpe_ratio': 0.9312428554143293}
T: {'final_portfolio_value': 11906.85173477138, 'Portfolio cumulative percent gain': 19.068517347713804, 'Stock percent gain': -2.5775492081173197, 'total_trades': 118, 'winning_trades': 63, 'losing_trades': 54, 'sharpe_ratio': 1.5551696034444933}
AKAM: {'final_portfolio_value': 10737.651741196372, 'Portfolio cumulative percent gain': 7.376517411963723, 'Stock percent gain': -14.121419806063628, 'total_trades': 120, 'winning_trades': 59, 'losing_trades': 60, 'sharpe_ratio': 0.18595211195740707}
